Ftests;d1Ftests;d2Ftests;FFtests;pvaluesFtests;ttests;dfttest;Tttest;pvaluesttests;pvalueSymbol;pvalueplain;effectsize;Mturk;LabStudy;FieldStudy;NoStudy;NoExperiment;Journal;Year;Issue;Article
[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];JCP;11;1;JCP1101\23049208.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.1', '(p =.1'];['.1', '.1'];[];[];[];[];[];[];JCP;11;1;JCP1101\23049209.pdf.txt
['f(1,28) = 6.11, p=.02', 'f(1,70)=4.08, p=.05', 'f(1,136)=5.95, p=.02', 'f(1,123)=4.05, p=.05', 'f(1,162)= 43.17,p=.0001'];['1', '1', '1', '1', '1'];['28', '70', '136', '123', '162'];['6.11', '4.08', '5.95', '4.05', '43.17'];['.02', '.05', '.02', '.05', '.0001'];[];[];[];[];[' p =.4', '(p =.323'];['.4', '.323'];['d=', 'd=', 'd=', 'd='];[];[];[];[];['experiment 1', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 3', 'experiment 1', 'experiment 2'];JCP;11;1;JCP1101\23049210.pdf.txt
['f(2,174)=7.41,p=.0008', 'f(1, 174)= 10.49, p=.001', 'f(2, 174)=2.71, p = .07'];['2', '1', '2'];['174', '174', '174'];['7.41', '10.49', '2.71'];['.0008', '.001', '.07'];[];[];[];[];[' p =.9', ' p < .001', ' p = .07', '(p =.89'];['.9', '.001', '.07', '.89'];['d=', 'd=', 'd=', 'd=', 'd =', 'd=', 'd =', 'd=', 'd=', 'd=', 'd=', 'd =', 'd =', 'd=', 'd =', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd='];[];[];[];[];[];JCP;11;1;JCP1101\23049211.pdf.txt
['f(1, 107)=7.234, p < .01', 'f(1, 107) = 7.046, p < .01', 'f(1, 107)= 17.3, p < .01', 'f(1, 74) = 11.434, p < .001', 'f(1, 74)=4.008, p < .05', 'f(1, 74)= 13.956, p < .001', 'f(1, 92) = 7.185, p < .01', 'f(1, 92)=5.468, p < .05', 'f(1, 92)= 12.59,p< .01', 'f(1, 82)=5.42, p < .05'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['107', '107', '107', '74', '74', '74', '92', '92', '92', '82'];['7.234', '7.046', '17.3', '11.434', '4.008', '13.956', '7.185', '5.468', '12.59', '5.42'];['.01', '.01', '.01', '.001', '.05', '.001', '.01', '.05', '.01', '.05'];[];[];[];[];[' p =.14', ' p < .001', ' p < .01', ' p < .01', ' p < .01', ' p = .34', ' p < .001', ' p < .001', ' p < .05', ' p < .001', '(p = .08', '(p = .26', ' p < .01', ' p < .05', '(p = .54', '(p = .94', ' p < .05', '(p =.253', '(p =.51', '(p =.133', ' p =.141'];['.14', '.001', '.01', '.01', '.01', '.34', '.001', '.001', '.05', '.001', '.08', '.26', '.01', '.05', '.54', '.94', '.05', '.253', '.51', '.133', '.141'];['d=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'g=', 'd=', 'd=', 'd=', 'd=', 'g='];[];[];[];[];['experiment 2', 'experiment 3', 'experiment 4', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 3', 'experiment 2', 'experiment 2', 'experiment 3', 'experiment 2', 'experiment 3', 'experiment 2', 'experiment 2', 'experiment 2', 'experiment 4', 'experiment 1', 'experiment 4', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 3', 'experiment 4', 'experiment 4', 'experiment 1', 'experiment 2', 'experiment 3'];JCP;11;1;JCP1101\23049212.pdf.txt
['f(1, 139)=4.99, p < .03', 'f(1, 139)=41.75, p <.001', 'f (1, 107)=5.78, p<.02', 'f(1, 196)=8.18,p <.01', 'f(1, 196) = 8.52, p< .01', 'f(1, 188)=7.83,p<.01', 'f(1, 188) = 24.24, p<.001'];['1', '1', '1', '1', '1', '1', '1'];['139', '139', '107', '196', '196', '188', '188'];['4.99', '41.75', '5.78', '8.18', '8.52', '7.83', '24.24'];['.03', '.001', '.02', '.01', '.01', '.01', '.001'];['t(79) = 3.79, p<.001', 't (48)= 1.82, p=.07', 't(92)= 2.06, p<.05'];['79', '48', '92'];['3.79', '1.82', '2.06'];['.001', '.07', '.05'];[' p =.24', ' p < .03', ' p < .01', ' p <.001', ' p = .06'];['.24', '.03', '.01', '.001', '.06'];['g='];[];[];[];['study 2', 'study 1', 'study 1', 'study 2', 'study 2', 'study 3', 'study 2', 'study 3', 'study 3', 'study 3', 'study 3', 'study 3', 'study 2', 'study 3', 'study 3', 'study 2'];[];JCP;11;1;JCP1101\23049213.pdf.txt
['f(2, 103)= 11.46, p< .001', 'f(1, 103)=3.15, p=.079', 'f(2, 103) = 5.92, p< .01', 'f(1, 102)= 11.75, p<.01', 'f(1, 58)=8.38, p<.0'];['2', '1', '2', '1', '1'];['103', '103', '103', '102', '58'];['11.46', '3.15', '5.92', '11.75', '8.38'];['.001', '.079', '.01', '.01', '.0'];['t(103) = 2.32, p<.01', 't(67)=2.02, p<.05', 't(67)=.13, ns', 't (102)=2.92, p<.01', 't(58) = 2.58, p<.05'];['103', '67', '67', '102', '58'];['2.32', '2.02', '.13', '2.92', '2.58'];['.01', '.05', 'ns','.01', '.05'];[' p =.38', ' p <.01', ' p < .05', '(p =.102', '(p =.20', '(p =.1'];['.38', '.01', '.05', '.102', '.20', '.1'];['d=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd='];[];[];[];['study 1', 'study 2', 'study 1', 'study 1', 'study 2', 'study 2', 'study 1', 'study 3', 'study 1', 'study 4', 'study 2', 'study 3', 'study 4', 'study 3', 'study 3', 'study 4', 'study 4', 'study 1', 'study 2', 'study 1'];[];JCP;11;1;JCP1101\23049214.pdf.txt
['f(1,30) = 24.04, p<.001', 'f(1,64) = 5.18, p=.03', 'f(1,64) =1.41, p=.24', 'f(1,64) = 4.50, p = .04', 'f(1,81)= 12.85, p<.01', 'f(1,81)=4.04, p=.05', 'f(1,81)= 1.05, p=.3', 'f(1,81)= 14.68, p< .01', 'f(1,81)=0.01, p=.96'];['1', '1', '1', '1', '1', '1', '1', '1', '1'];['30', '64', '64', '64', '81', '81', '81', '81', '81'];['24.04', '5.18', '1.41', '4.50', '12.85', '4.04', '1.05', '14.68', '0.01'];['.001', '.03', '.24', '.04', '.01', '.05', '.3', '.01', '.96'];[];[];[];[];[' p =.49', ' p = .04', ' p = .01', '(p =.473', '(p =.121', '(p =.51'];['.49', '.04', '.01', '.473', '.121', '.51'];['d=', 'd=', 'd='];[];[];[];['study 2', 'study 2', 'study 1', 'study 2', 'study 1', 'study 2', 'study 1', 'study 1', 'study 2', 'study 1', 'study 2', 'study 1', 'study 1', 'study 2', 'study 2'];[];JCP;11;1;JCP1101\23049215.pdf.txt
['f(4,64)=3.17, p<0.05', 'f(1,68)=41.15, p<0.001'];['4', '1'];['64', '68'];['3.17', '41.15'];[ '.05',  '.001'];[];[];[];[];[' p =.57', '(p =.5'];['.57', '.5'];['d=', 'd=', 'g=', 'g=', 'g=', 'g='];[];[];[];[];[];JCP;11;1;JCP1101\23049216.pdf.txt
['f(3,201) = 1.174, p=0.321'];['3'];['201'];['1.174'];[ '.321'];[];[];[];[];[' p =.65', ' p = 0.825', ' p < .01', ' p < .001', '(p =.71', '(p =.299', '(p =.189'];['.65', '.825', '.01', '.001', '.71', '.299', '.189'];['d='];[];[];[];[];[];JCP;11;1;JCP1101\23049217.pdf.txt
[];[];[];[];[];['t(93)<1, ns', 't(92) = 1.82, p<.05', 't(92) = 1.68, p<.05', 't(41)< 1, ns', 't(40) = 3.88,p<.001', 't(40)< 1, ns.', 't(130)<1, ns', 't(129) = 2.74, p<.01', 't(129) < 1, ns.', 't(129)=2.85, p< .01', 't(132)= 1.95, p=.05', 't(132) < 1, ns', 't(128) = 2.72, p <.01', 't(128) = 2.25, p<.05'];['93', '92', '92', '41', '40', '40', '130', '129', '129', '129', '132', '132', '128', '128'];['1', '1.82', '1.68', '1', '3.88', '1', '1', '2.74', '1', '2.85', '1.95', '1', '2.72', '2.25'];[ 'ns',  '.05', '.05', 'ns', '.001', 'ns', 'ns', '.01', 'ns', '.01', '.05', 'ns', '.01', '.05'];[' p =.73', ' p <.01', ' p = .05', ' p <.01', '(p =.117', '(p =.339', '(p =.119', '(p =.85', '(p =.29', '(p =.153'];['.73', '.01', '.05', '.01', '.117', '.339', '.119', '.85', '.29', '.153'];['d='];[];[];[];['study 1', 'study 4', 'study 4', 'study 1', 'study 1', 'study 2', 'study 3', 'study 4', 'study 1', 'study 1', 'study 2', 'study 3', 'study 4', 'study 4', 'study 1', 'study 2', 'study 3', 'study 4', 'study 1', 'study 1', 'study 2', 'study 2', 'study 1', 'study 2', 'study 1', 'study 2', 'study 3', 'study 3', 'study 3', 'study 1', 'study 3', 'study 2', 'study 4', 'study 4', 'study 1', 'study 4', 'study 1', 'study 2', 'study 4'];[];JCP;11;1;JCP1101\23049218.pdf.txt
['f(1,72)=20.61, p < 0.01', 'f(1,72)=5.73,p<0.05', 'f(2,124) = 3.17,p<0.05', 'f(1,124) = 4.52,p<0.05', 'f(1,124) = 0.19, n.s.', 'f(1,124)=4.15, p<0.05', 'f(2,438)=3.39, p<0.05', 'f(1,439)= 1.18, n.s.', 'f(1,439) = 5.06,p <0.05', 'f(1,439) = 0.32, n.s.', 'f(1,439)=21.04, p <0.0001', 'f(1,103) = 25.19, p <0.0001', 'f(1,47)=5.16, p<0.05', 'f(1,49)=2.45, n.s.'];['1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1'];['72', '72', '124', '124', '124', '124', '438', '439', '439', '439', '439', '103', '47', '49'];['20.61', '5.73', '3.17', '4.52', '0.19', '4.15', '3.39', '1.18', '5.06', '0.32', '21.04', '25.19', '5.16', '2.45'];[ '.01',  '.05',  '.05',  '.05', 'n.s.',  '.05',  '.05', 'n.s.',  '.05', 'n.s.',  '.0001',  '.0001',  '.05', 'n.s.'];[];[];[];[];[' p =.88', ' p < 0.01', ' p <0.0001', ' p <0.0001', ' p <0.01', '(p =.3', '(p =.3', '(p =.75', '(p =.217'];['.88', '.01', '.0001', '.0001', '.01', '.3', '.3', '.75', '.217'];['d=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd='];[];[];[];[];['experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 3', 'experiment 3', 'experiment 3', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 3', 'experiment 3', 'experiment 3', 'experiment 3'];JCP;11;1;JCP1101\23049219.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.101', ' p < .001', ' p <.05', '(p =.25', '(p =.1', '(p =.201'];['.101', '.001', '.05', '.25', '.1', '.201'];['d=', 'd='];[];[];[];[];[];JCP;11;1;JCP1101\23049220.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.978', ' p =.978', ' p =.978'];['.978', '.978', '.978'];[];[];[];['field experiment'];[];[];JCP;11;1;JCP1101\23049221.pdf.txt
[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];JCP;11;2;JCP1102\23049223.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.113'];['.113'];[];[];[];[];[];[];JCP;11;2;JCP1102\23049224.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.115', '(p =.57', '(p =.119', '(p =.13', '(p =.65', '(p =.3', '(p =.345'];['.115', '.57', '.119', '.13', '.65', '.3', '.345'];['d='];[];[];[];[];[];JCP;11;2;JCP1102\23049225.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.126', '(p =.195', '(p =.50', '(p =.213'];['.126', '.195', '.50', '.213'];[];[];[];[];[];[];JCP;11;2;JCP1102\23049226.pdf.txt
