"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",16,16,16,16,16,16,16,16,16,16,16
"2",10,10,10,10,10,10,10,10,10,10,10
"3",1,1,1,1,1,1,1,1,1,1,1
"4",24,24,24,24,24,24,24,24,24,24,24
"5",6,6,6,6,6,6,6,6,6,6,6
"6",7,7,7,7,7,7,7,7,7,7,7
"7",38,38,38,38,38,38,38,38,38,38,38
"8",54,54,54,54,54,54,54,54,54,54,54
"9",32,32,32,32,32,32,32,32,32,32,32
"10",19,19,19,19,19,19,19,19,19,19,19
"11",28,28,28,28,28,28,28,28,28,28,28
"12",10,10,10,10,10,10,10,10,10,10,10
"13",3,3,3,3,3,3,3,3,3,3,3
"14",3,3,3,3,3,3,3,3,3,3,3
"15",88,88,88,87,88,83,88,88,88,88,83
"16",12,12,12,12,12,12,12,12,12,12,12
"17",12,12,12,12,12,12,12,12,12,12,12
"18",21,21,21,21,21,21,21,21,21,21,21
"19",1,1,1,1,1,1,1,1,1,1,1
"20",1,1,1,1,1,1,1,1,1,1,1
"21",1,1,1,1,1,1,1,1,1,1,1
"22",14,14,14,14,14,14,14,14,14,14,14
"23",23,23,23,23,23,23,23,23,23,23,23
"24",35,35,35,35,35,35,35,35,35,35,35
"25",6,6,6,6,6,6,6,6,6,6,6
"26",1,1,1,1,1,1,1,1,1,1,1
"27",7,7,7,7,7,7,7,7,7,7,7
"28",8,8,8,8,8,8,8,8,8,8,8
"29",1,1,1,1,1,1,1,1,1,1,1
"30",19,19,19,19,19,19,19,19,19,19,19
"31",34,34,34,34,34,34,34,34,34,34,34
"32",1,1,1,1,1,1,1,1,1,1,1
"33",1,1,1,1,1,1,1,1,1,1,1
"34",55,55,55,55,55,55,55,55,55,55,55
"35",20,20,20,20,20,20,20,20,20,20,20
"36",1,1,1,1,1,1,1,1,1,1,1
"37",1,1,1,1,1,1,1,1,1,1,1
"38",15,15,15,15,15,15,15,15,15,15,15
"39",10,10,10,10,10,10,10,10,10,10,10
"40",1,1,1,1,1,1,1,1,1,1,1
"41",1,1,1,1,1,1,1,1,1,1,1
"42",1,1,1,1,1,1,1,1,1,1,1
"43",1,1,1,1,1,1,1,1,1,1,1
"44",6,6,6,6,6,6,6,6,6,6,6
"45",6,6,6,6,6,6,6,6,6,6,6
"46",6,6,6,6,6,6,6,6,6,6,6
"47",1,1,1,1,1,1,1,1,1,1,1
"48",1,1,1,1,1,1,1,1,1,1,1
"49",1,1,1,1,1,1,1,1,1,1,1
"50",1,1,1,1,1,1,1,1,1,1,1
"51",1,1,1,1,1,1,1,1,1,1,1
"52",8,8,8,8,8,8,8,8,8,8,8
"53",1,1,1,1,1,1,1,1,1,1,1
"54",1,1,1,1,1,1,1,1,1,1,1
"55",1,1,1,1,1,1,1,1,1,1,1
"56",1,1,1,1,1,1,1,1,1,1,1
"57",1,1,1,1,1,1,1,1,1,1,1
"58",1,1,1,1,1,1,1,1,1,1,1
"59",1,1,1,1,1,1,1,1,1,1,1
"60",35,35,35,35,35,35,35,35,35,35,35
"61",1,1,1,1,1,1,1,1,1,1,1
"62",1,1,1,1,1,1,1,1,1,1,1
"63",1,1,1,1,1,1,1,1,1,1,1
"64",7,7,7,7,7,7,7,7,7,7,7
"65",10,10,10,10,10,10,10,10,10,10,10
"66",10,10,10,10,10,10,10,10,10,10,10
"67",13,13,13,13,13,13,13,13,13,13,13
"68",32,32,32,32,32,32,32,32,32,32,32
"69",17,17,17,17,17,17,17,17,17,17,17
"70",42,42,42,42,42,42,42,42,42,42,42
"71",1,1,1,1,1,1,1,1,1,1,1
"72",47,47,47,47,47,47,47,47,47,47,47
"73",10,10,10,10,10,10,10,10,10,10,10
"74",11,11,11,11,11,11,11,11,11,11,11
"75",33,33,33,33,33,33,33,33,33,33,33
"76",31,31,31,31,31,31,31,31,31,31,31
"77",40,40,40,40,40,40,40,40,40,40,40
"78",21,21,21,21,21,21,21,21,21,21,21
"79",5,5,5,5,5,5,5,5,5,5,5
"80",14,14,14,14,14,14,14,14,14,14,14
"81",15,15,15,15,15,15,15,15,15,15,15
"82",19,19,19,19,19,19,19,19,19,19,19
"83",1,1,1,1,1,1,1,1,1,1,1
"84",1,1,1,1,1,1,1,1,1,1,1
"85",17,17,17,17,17,17,17,17,17,17,17
"86",6,6,6,6,6,6,6,6,6,6,6
"87",1,1,1,1,1,1,1,1,1,1,1
"88",25,25,25,25,25,25,25,25,25,25,25
"89",1,1,1,1,1,1,1,1,1,1,1
"90",43,43,42,43,43,43,43,43,43,43,43
"91",19,19,19,19,19,19,19,19,19,19,19
"92",1,1,1,1,1,1,1,1,1,1,1
"93",19,19,19,19,19,19,19,19,19,19,19
"94",15,15,15,15,15,15,15,15,15,15,15
"95",1,1,1,1,1,1,1,1,1,1,1
"96",22,22,22,22,22,22,22,22,22,22,22
"97",2,2,2,2,2,2,2,2,2,2,2
"98",25,25,25,25,25,25,25,25,25,25,25
"99",1,1,1,1,1,1,1,1,1,1,1
"100",1,1,1,1,1,1,1,1,1,1,1
"101",1,1,1,1,1,1,1,1,1,1,1
"102",1,1,1,1,1,1,1,1,1,1,1
"103",1,1,1,1,1,1,1,1,1,1,1
"104",41,41,41,41,41,41,41,41,41,41,41
"105",1,1,1,1,1,1,1,1,1,1,1
"106",3,3,3,3,3,3,3,3,3,3,3
"107",1,1,1,1,1,1,1,1,1,1,1
