"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",26,26,26,25,26,26,26,26,26,26
"2",11,11,11,11,11,11,11,11,11,11
"3",16,16,16,16,16,16,16,16,16,16
"4",52,52,52,52,52,52,52,52,52,52
"5",18,18,18,18,17,17,18,18,18,17
"6",23,23,24,23,23,23,23,23,23,23
"7",14,14,14,14,14,14,14,14,14,14
"8",3,3,3,3,3,3,3,3,3,3
"9",6,6,6,6,6,6,6,6,6,6
"10",11,11,11,11,11,11,11,11,11,11
"11",7,7,7,7,7,7,7,7,7,7
"12",10,10,10,10,10,10,10,10,10,10
"13",2,2,2,2,2,2,2,2,2,2
"14",2,2,2,2,2,2,2,2,2,2
"15",1,1,1,1,1,1,1,1,1,1
"16",1,1,1,1,1,1,1,1,1,1
"17",1,1,1,1,1,1,1,1,1,1
"18",1,1,1,1,1,1,1,1,1,1
"19",1,1,1,1,1,1,1,1,1,1
"20",1,1,1,1,1,1,1,1,1,1
"21",1,1,1,1,1,1,1,1,1,1
"22",11,11,8,11,11,11,11,11,11,11
"23",1,1,1,1,1,1,1,1,1,1
"24",1,1,1,1,1,1,1,1,1,1
"25",12,12,12,12,12,12,12,12,12,12
"26",1,1,1,1,1,1,1,1,1,1
"27",8,8,8,8,8,8,8,8,8,8
"28",3,3,3,3,3,3,3,3,3,3
"29",1,1,1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1
"31",1,1,1,1,1,1,1,1,1,1
"32",1,1,1,1,1,1,1,1,1,1
"33",1,1,1,1,1,1,1,1,1,1
"34",1,1,1,1,1,1,1,1,1,1
"35",1,1,1,1,1,1,1,1,1,1
"36",1,1,1,1,1,1,1,1,1,1
"37",1,1,1,1,1,1,1,1,1,1
"38",20,20,17,20,20,20,20,20,20,20
"39",20,20,20,20,20,20,20,20,20,20
"40",1,1,1,1,1,1,1,1,1,1
"41",1,1,1,1,1,1,1,1,1,1
"42",1,1,1,1,1,1,1,1,1,1
"43",1,1,1,1,1,1,1,1,1,1
"44",8,8,8,8,8,8,8,8,8,8
"45",1,1,1,1,1,1,1,1,1,1
"46",1,1,1,1,1,1,1,1,1,1
"47",1,1,1,1,1,1,1,1,1,1
"48",1,1,1,1,1,1,1,1,1,1
"49",1,1,1,1,1,1,1,1,1,1
"50",1,1,1,1,1,1,1,1,1,1
"51",1,1,1,1,1,1,1,1,1,1
"52",1,1,1,1,1,1,1,1,1,1
"53",1,1,1,1,1,1,1,1,1,1
"54",1,1,1,1,1,1,1,1,1,1
"55",1,1,1,1,1,1,1,1,1,1
"56",1,1,1,1,1,1,1,1,1,1
"57",1,1,1,1,1,1,1,1,1,1
"58",1,1,1,1,1,1,1,1,1,1
"59",1,1,1,1,1,1,1,1,1,1
"60",3,3,3,3,3,3,3,3,3,3
"61",1,1,1,1,1,1,1,1,1,1
"62",1,1,1,1,1,1,1,1,1,1
"63",1,1,1,1,1,1,1,1,1,1
