"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"Theta[1]",-5.19595046192921,0.0572986322374996,4.08186231075019,-13.2836031221643,-7.91021435994477,-5.1848856165847,-2.45484161570981,2.80605045972109,5074.9082121509,0.999094594041287
"Theta[2]",-5.05771661199982,0.0588534233221116,4.13769721363028,-13.4116740502279,-7.86456863215706,-5.03131702302509,-2.26661077414386,2.98020777791058,4942.81043472039,0.999397784343601
"Theta[3]",0.078679717543416,0.0611112716616388,4.54160400261723,-8.67537855453608,-2.89927325769344,0.0687265042841401,3.06205748265105,9.0550202083592,5523.01071630262,0.999725410139016
"Theta[4]",-1.00746872045034,0.0483402416070883,3.08429531009529,-7.31467947740988,-2.98736931768443,-0.983632760070454,1.04306267202059,5.04615232495074,4070.93598850538,0.999869003704289
"Theta[5]",-1.45699560956636,0.0509289996790219,2.94975277836241,-7.17722395950616,-3.50225207622185,-1.41506423312484,0.536902594440779,4.04610012773857,3354.60156752721,0.999406594869078
"Theta[6]",-0.14225341002967,0.0448390383578622,2.84224149687946,-5.76757761349021,-2.11586188833528,-0.129795446626435,1.84693045963767,5.31900371290854,4017.99481465353,1.00025577241936
"Theta[7]",-1.70637381648322,0.0485712416447619,2.9467810593886,-7.57510803956886,-3.71265614176593,-1.67017802642884,0.369753459830867,3.90161352490405,3680.75853816832,1.00046874315344
"Theta[8]",-4.47834620932914,0.0670505075403304,3.55634863207392,-11.6986442753968,-6.82551925131479,-4.42792935403968,-1.91669500050599,2.1999479657462,2813.22532368528,1.00078989800284
"Theta[9]",-1.91739368426835,0.0544651802537862,4.59717506515735,-10.7736592872169,-5.17516015371871,-1.8497862491296,1.27661606438411,6.8495802448438,7124.332731232,0.999136242028164
"Theta[10]",2.42104618378221,0.0529842133761846,3.91368904457524,-5.18121640902434,-0.203394293739469,2.4164179341583,5.03367108844573,10.0092819983196,5456.06645138859,0.999420494512074
"Theta[11]",-3.91805287690257,0.0555124972371757,3.67874306463966,-11.0802284018307,-6.41095252415492,-3.88957930640363,-1.40014255400822,3.32183187144966,4391.54546780058,0.999374494553923
"Theta[12]",1.8393388690366,0.0509041691762633,3.601651395304,-5.16015777247613,-0.563726267534609,1.79633543893503,4.24025336668065,8.81121093936916,5006.06682877755,0.999529463428536
"Theta[13]",-0.542345109609516,0.0490711194360491,3.49485635245498,-7.22726426359403,-2.868291591517,-0.554324479454347,1.77031720246613,6.21668094978443,5072.3209866885,0.999856570421764
"Theta[14]",2.41238430075593,0.0540567373087571,3.48152301690995,-4.36592925706185,0.0792318388212225,2.488419140956,4.77876205999409,9.0871056382457,4148.00128598917,0.999594366416516
"Theta[15]",1.09786158325741,0.0482791604289233,3.13042906975796,-4.86089612549084,-1.07776529348153,1.06388355292243,3.23397481861828,7.21844579216778,4204.24791447399,0.999407665214774
"Theta[16]",2.32417818196006,0.0519337099883905,4.04127684234833,-5.18831203570713,-0.604708180808091,2.3188571902959,5.11274897307842,10.1317273572381,6055.3396430433,0.999914649559585
"Theta[17]",0.480501603736464,0.0488957544060034,3.5586876945964,-6.5470531366583,-1.89584445068075,0.545229834684387,2.78956006907868,7.49363403349512,5297.09120721195,0.999670489910955
"Theta[18]",2.15829907692238,0.0618815270538855,4.03552256747663,-5.7604069080958,-0.582279392406941,2.14814788732404,4.85558490441523,10.3059448245621,4252.82503768858,0.999900578620801
"alpha[1,1]",-0.175673882037503,0.013641991590119,0.852908375648108,-1.98200369868057,-0.717253580930172,-0.146712077966111,0.423942419395902,1.38169639127464,3908.85178773735,0.999470407918224
"alpha[1,2]",0.611453681733477,0.0167432328057183,0.792525584842041,-1.01965709901944,0.11076424089259,0.621355808254192,1.14257453775764,2.11716598530052,2240.51548993891,0.999582807318956
"alpha[1,3]",-0.627123496872976,0.0177866796298025,0.814830240809817,-2.30995402589584,-1.15672141879044,-0.589296499900038,-0.0681781807029655,0.899545452840414,2098.67172695404,0.999910393358474
"alpha[1,4]",0.0763358185689616,0.0148519578691442,0.94981098383512,-1.80769932977563,-0.541416000378328,0.0905974808091045,0.716117254666228,1.90980439488324,4089.8460250148,0.999755930073258
"alpha[1,5]",-0.590039478369662,0.0180449246264338,0.823193773527365,-2.29378588900852,-1.10463731378821,-0.541770964388431,-0.040233144819216,0.88395564012477,2081.10507835283,1.00060093329788
"alpha[1,6]",-0.469669153602882,0.0135828564677801,0.80049786888975,-2.11922695569899,-0.96174113862124,-0.43076494367593,0.0726085870904082,0.987162477025947,3473.2667373459,0.999894641827882
"alpha[1,7]",-0.524116479173987,0.0144812342471754,0.793896705767744,-2.17372090422345,-1.03743838243132,-0.482175206925863,0.0376164186246141,0.931889075565175,3005.50076137452,0.999177789558442
"alpha[1,8]",-0.285793881778109,0.0163229960173527,0.960620218139556,-2.20240246160866,-0.93036670513602,-0.244197261989302,0.347833798652325,1.54434307212224,3463.40832585499,0.999665568863947
"alpha[1,9]",0.501035968373731,0.0177009203997654,0.783756979483297,-1.16572473929897,0.0180000581116622,0.545098613806925,1.03025549563187,1.94639093094963,1960.5194014728,0.999449624803995
"alpha[1,10]",-0.162493026321681,0.0137181886953197,0.851474984534907,-1.8497335531208,-0.724711489031025,-0.12152802612346,0.415590155366734,1.43223670294445,3852.56737055104,0.999656093375906
"alpha[1,11]",0.763002089216963,0.0163135796628446,0.701594957117656,-0.708061158799739,0.338497618939323,0.781302855637743,1.21022596760955,2.14716902587192,1849.58536966179,1.00101268297753
"alpha[1,12]",0.885173447316321,0.0185241823485434,0.754664059493058,-0.684232734025652,0.410523187666167,0.915169834871209,1.38111374466054,2.27800934965434,1659.69864692252,1.00050456791716
"alpha[1,13]",0.0768876237797377,0.0150175246621987,0.982645807998157,-1.90151006378111,-0.584761240004157,0.105912780423121,0.723892633424118,1.95019062091433,4281.51336356755,1.0000370510728
"alpha[1,14]",-0.310328313291082,0.0159977084083929,0.934365716245121,-2.12217649773206,-0.949847989941351,-0.295397174195536,0.320229285357546,1.47802529052648,3411.28682273567,0.99940436974605
